sku_category.skuseq,sku_category.status,sku_category.unit,sku_category.cate,sku_category.fst_sales_dy
2177182,ACTIVE,Kitchen,Tableware,20160825
2180542,ACTIVE,Kitchen,Tableware,20160707
2190622,ACTIVE,Kitchen,Cookware,20160815
2192062,ACTIVE,Kitchen,Tools & Gadgets,20161025
2199742,ACTIVE,Kitchen,Kitchen Accessories,20160719
2200462,ACTIVE,Kitchen,Tools & Gadgets,20160814
2202382,ACTIVE,Kitchen,Tableware,20160820
2207662,ACTIVE,Kitchen,Tableware,20160905
2208382,ACTIVE,Kitchen,Cookware,20160712
2210542,ACTIVE,Kitchen,Tableware,20160809
2212462,ACTIVE,Kitchen,Tableware,20160730
2218222,ACTIVE,Kitchen,Cookware,20160727
2227582,ACTIVE,Kitchen,Tableware,20161026
2228303,ACTIVE,Kitchen,Tableware,20161008
2230703,ACTIVE,Kitchen,Cookware,20160818
2237663,ACTIVE,Kitchen,Tableware,20161213
2237903,ACTIVE,Kitchen,Kitchen Accessories,20160828
2243183,ACTIVE,Kitchen,Tableware,20160806
2243423,ACTIVE,Kitchen,Tools & Gadgets,20160821
2258543,ACTIVE,Kitchen,Kitchen Accessories,20160904
2264303,ACTIVE,Kitchen,Kitchen Accessories,20160820
2288543,ACTIVE,Kitchen,Tableware,20161204
2294304,ACTIVE,Kitchen,Tableware,20160914
2297664,ACTIVE,Kitchen,Kitchen Accessories,20160915
2303904,ACTIVE,Kitchen,Kitchen Accessories,20161203
2304624,OTHER,Kitchen,Tableware,20161106
2308224,ACTIVE,Kitchen,Food Storage,20160924
2318304,ACTIVE,Kitchen,Tools & Gadgets,20161009
2329104,ACTIVE,Kitchen,Food Storage,20161019
2342304,ACTIVE,Kitchen,Kitchen Accessories,20161212
2351664,ACTIVE,Kitchen,Kitchen Accessories,20161127
2354064,ACTIVE,Kitchen,Kitchen Accessories,20161204
25249,ACTIVE,Kitchen,Food Storage,20140423
25729,ACTIVE,Kitchen,Tools & Gadgets,20140528
43489,ACTIVE,Kitchen,Tableware,20141024
50689,ACTIVE,Kitchen,Kitchen Accessories,20141019
69650,ACTIVE,Kitchen,Tableware,20141125
71570,ACTIVE,Kitchen,Kitchen Accessories,20150312
80930,ACTIVE,Kitchen,Tools & Gadgets,20141115
87650,ACTIVE,Kitchen,Tools & Gadgets,20150624
89330,ACTIVE,Kitchen,Kitchen Accessories,20141212
89570,ACTIVE,Kitchen,Tableware,20160121
91250,ACTIVE,Kitchen,Tableware,20160503
91490,ACTIVE,Kitchen,Tableware,20161204
92450,ACTIVE,Kitchen,Tools & Gadgets,20141123
92930,OTHER,Kitchen,Food Storage,20141212
93410,ACTIVE,Kitchen,Tools & Gadgets,20141211
98690,ACTIVE,Kitchen,Kitchen Accessories,20141119
101570,ACTIVE,Kitchen,Tableware,20150223
111170,ACTIVE,Kitchen,Food Storage,20150120
111890,ACTIVE,Kitchen,Tools & Gadgets,20141230
114770,ACTIVE,Kitchen,Tools & Gadgets,20141216
115730,ACTIVE,Kitchen,Food Storage,20150720
118130,ACTIVE,Kitchen,Cookware,20141211
118610,ACTIVE,Kitchen,Tableware,20150104
119090,OTHER,Kitchen,Kitchen Accessories,20150227
124850,ACTIVE,Kitchen,Tableware,20141231
125810,ACTIVE,Kitchen,Tools & Gadgets,20141231
128690,ACTIVE,Kitchen,Food Storage,20150216
129170,ACTIVE,Kitchen,Cookware,20150116
129650,ACTIVE,Kitchen,Kitchen Accessories,20150408
133491,ACTIVE,Kitchen,Tableware,20150116
139491,ACTIVE,Kitchen,Kitchen Accessories,20150429
141171,ACTIVE,Kitchen,Tools & Gadgets,20150310
143571,ACTIVE,Kitchen,Food Storage,20150227
144051,ACTIVE,Kitchen,Tableware,20150327
152691,ACTIVE,Kitchen,Tableware,20150215
154371,ACTIVE,Kitchen,Tableware,20150215
155091,ACTIVE,Kitchen,Tableware,20150302
158211,ACTIVE,Kitchen,Food Storage,20150220
158451,ACTIVE,Kitchen,Tableware,20150327
160611,ACTIVE,Kitchen,Tableware,20150306
160851,ACTIVE,Kitchen,Tableware,20150304
302693,ACTIVE,Kitchen,Cookware,20150228
305813,ACTIVE,Kitchen,Food Storage,20150721
308693,ACTIVE,Kitchen,Food Storage,20151026
310133,ACTIVE,Kitchen,Tableware,20151111
311093,ACTIVE,Kitchen,Tableware,20160427
312293,ACTIVE,Kitchen,Tools & Gadgets,20150401
312533,ACTIVE,Kitchen,Tableware,20150930
313253,ACTIVE,Kitchen,Kitchen Accessories,20150322
314453,ACTIVE,Kitchen,Tools & Gadgets,20150719
315413,ACTIVE,Kitchen,Tableware,20150312
316133,ACTIVE,Kitchen,Cookware,20150409
